row_id,order_id,order_date,ship_date,ship_mode
1,CA-2013-152156,2013-11-09,2013-11-12,Second Class
2,CA-2013-152156,2013-11-09,2013-11-12,Second Class
3,CA-2013-138688,2013-06-13,2013-06-17,Second Class
4,US-2012-108966,2012-10-11,2012-10-18,Standard Class
5,US-2012-108966,2012-10-11,2012-10-18,Standard Class
6,CA-2011-115812,2011-06-09,2011-06-14,Standard Class
7,CA-2011-115812,2011-06-09,2011-06-14,Standard Class
8,CA-2011-115812,2011-06-09,2011-06-14,Standard Class
9,CA-2011-115812,2011-06-09,2011-06-14,Standard Class
10,CA-2011-115812,2011-06-09,2011-06-14,Standard Class
11,CA-2011-115812,2011-06-09,2011-06-14,Standard Class
12,CA-2011-115812,2011-06-09,2011-06-14,Standard Class
13,CA-2014-114412,2014-04-16,2014-04-21,Standard Class
14,CA-2013-161389,2013-12-06,2013-12-11,Standard Class
15,US-2012-118983,2012-11-22,2012-11-26,Standard Class
16,US-2012-118983,2012-11-22,2012-11-26,Standard Class
17,CA-2011-105893,2011-11-11,2011-11-18,Standard Class
18,CA-2011-167164,2011-05-13,2011-05-15,Second Class
19,CA-2011-143336,2011-08-27,2011-09-01,Second Class
20,CA-2011-143336,2011-08-27,2011-09-01,Second Class
21,CA-2011-143336,2011-08-27,2011-09-01,Second Class
22,CA-2013-137330,2013-12-10,2013-12-14,Standard Class
23,CA-2013-137330,2013-12-10,2013-12-14,Standard Class
24,US-2014-156909,2014-07-17,2014-07-19,Second Class
25,CA-2012-106320,2012-09-25,2012-09-30,Standard Class
26,CA-2013-121755,2013-01-16,2013-01-20,Second Class
27,CA-2013-121755,2013-01-16,2013-01-20,Second Class
28,US-2012-150630,2012-09-17,2012-09-21,Standard Class
29,US-2012-150630,2012-09-17,2012-09-21,Standard Class
30,US-2012-150630,2012-09-17,2012-09-21,Standard Class
31,US-2012-150630,2012-09-17,2012-09-21,Standard Class
32,US-2012-150630,2012-09-17,2012-09-21,Standard Class
33,US-2012-150630,2012-09-17,2012-09-21,Standard Class
34,US-2012-150630,2012-09-17,2012-09-21,Standard Class
35,CA-2014-107727,2014-10-20,2014-10-24,Second Class
36,CA-2013-117590,2013-12-09,2013-12-11,First Class
37,CA-2013-117590,2013-12-09,2013-12-11,First Class
38,CA-2012-117415,2012-12-27,2012-12-31,Standard Class
39,CA-2012-117415,2012-12-27,2012-12-31,Standard Class
