row_id,sales,quantity,discount,profit
1,261.96,2,0.0,41.9136
2,731.94,3,0.0,219.582
3,14.62,2,0.0,6.8714
4,957.5775,5,0.45,-383.031
5,22.368,2,0.2,2.5164
6,48.86,7,0.0,14.1694
7,7.28,4,0.0,1.9656
8,907.152,6,0.2,90.7152
9,18.504,3,0.2,5.7825
10,114.9,5,0.0,34.47
11,1706.184,9,0.2,85.3092
12,911.424,4,0.2,68.3568
13,15.552,3,0.2,5.4432
14,407.976,3,0.2,132.5922
15,68.81,5,0.8,-123.858
16,2.544,3,0.8,-3.816
17,665.88,6,0.0,13.3176
18,55.5,2,0.0,9.99
19,8.56,2,0.0,2.4824
20,213.48,3,0.2,16.011
21,22.72,4,0.2,7.384
22,19.46,7,0.0,5.0596
23,60.34,7,0.0,15.6884
24,71.372,2,0.3,-1.0196
25,1044.63,3,0.0,240.2649
26,11.648,2,0.2,4.2224
27,90.57,3,0.0,11.7741
28,3083.43,7,0.5,-1665.0522
29,9.618,2,0.7,-7.0532
30,124.2,3,0.2,15.525
31,3.264,2,0.2,1.1016
32,86.304,6,0.2,9.7092
33,6.858,6,0.7,-5.715
34,15.76,2,0.2,3.546
35,29.472,3,0.2,9.9468
36,1097.544,7,0.2,123.4737
37,190.92,5,0.6,-147.963
38,113.328,9,0.2,35.415
39,532.3992,3,0.32,-46.9764
40,212.058,3,0.3,-15.147
41,371.168,4,0.2,41.7564
42,147.168,4,0.2,16.5564
43,77.88,2,0.0,3.894
44,95.616,2,0.2,9.5616
45,45.98,2,0.0,19.7714
46,17.46,2,0.0,8.2062
47,211.96,4,0.0,8.4784
48,45.0,3,0.0,4.95
49,21.8,2,0.0,6.104
50,38.22,6,0.0,17.9634
51,75.18,6,0.0,35.3346
52,6.16,2,0.0,2.9568
53,89.99,1,0.0,17.0981
54,15.26,7,0.0,6.2566
55,1029.95,5,0.0,298.6855
56,208.56,6,0.0,52.14
57,32.4,5,0.0,15.552
58,319.41,5,0.1,7.098
59,14.56,2,0.0,6.9888
60,30.0,2,0.0,3.3
61,48.48,4,0.2,16.362
62,1.68,1,0.0,0.84
63,13.98,2,0.0,6.1512
64,25.824,6,0.2,9.3612
65,146.73,3,0.0,68.9631
66,79.76,4,0.0,22.3328
67,213.115,5,0.3,-15.2225
68,1113.024,8,0.2,111.3024
69,167.968,4,0.2,62.988
70,75.88,2,0.0,35.6636
71,4.616,1,0.2,1.731
72,19.05,3,0.0,8.763
73,831.936,8,0.2,-114.3912
74,97.04,2,0.2,1.213
75,72.784,1,0.2,-18.196
76,1.248,3,0.8,-1.9344
77,9.708,3,0.6,-5.8248
78,27.24,3,0.2,2.724
79,19.3,5,0.6,-14.475
80,208.16,1,0.0,56.2032
81,16.74,3,0.0,8.0352
82,14.9,5,0.0,4.172
83,21.39,1,0.0,6.2031
84,200.984,7,0.2,62.8075
85,230.376,3,0.2,-48.9549
86,301.96,2,0.0,33.2156
87,19.99,1,0.0,6.7966
88,6.16,2,0.0,2.9568
89,158.368,7,0.2,13.8572
90,20.1,3,0.0,6.633
91,73.584,2,0.2,8.2782
92,6.48,1,0.0,3.1104
93,12.96,2,0.0,6.2208
94,53.34,3,0.0,16.5354
95,32.96,2,0.0,16.1504
96,5.682,1,0.7,-3.788
97,96.53,7,0.0,40.5426
98,51.312,3,0.2,17.9592
99,77.88,6,0.0,22.5852
100,64.624,7,0.2,22.6184
101,95.976,3,0.2,-10.7973
102,1.788,3,0.8,-3.0396
103,23.92,4,0.0,11.7208
